Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Recapture 18,Comments
4000-47653,8/16/2003,MCGC,BTLH,M,HY,2003,"8/17/03, 3.6g.",,,,,,,,,,,,,,,,,,
4000-47716,8/24/2003,MCGC,RUHU,F,HY,2003,8/24/2003,,,,,,,,,,,,,,,,,,
4000-47733,9/1/2003,MCGC,BTLH,F,HY,2003,9/1/2003,,,,,,,,,,,,,,,,,,
5000-11523,5/31/2003,MCGC,BTLH,M,AHY,2003,5/31/03 (3),"6/1/03 (2), 3.2g",6/4/2003,"6/14/2003, 3.2 g.","6/21/2003, 3.3g.","6/22/2003, 3.2g ","6/27/2003, 3.3g.","7/4/2003, 3.4g.","7/5/2003, 3.4g.",,,,,,,,,,
5000-11525,5/31/2003,MCGC,BTLH,F,AHY,2003,"6/13/03, 3.0g.","6/12/03, 3.9g.",,,,,,,,,,,,,,,,,
5000-11526,6/1/2003,MCGC,BTLH,F,AHY,2003,"7/6/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-11527,6/1/2003,MCGC,BTLH,M,AHY,2003,"6/14/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-11533,6/4/2003,MCGC,BTLH,F,AHY,2003,6/4/2003,"6/13/03, 3.0g.","6/21/03, 3.4g.",,,,,,,,,,,,,,,,
5000-11534,6/4/2003,MCGC,BTLH,M,AHY,2003,6/4/2003,"6/13/03, 2.9g.","6/14/03, 3.0g.",,,,,,,,,,,,,,,,
5000-11535,6/4/2003,MCGC,BTLH,M,AHY,2003,"6/12/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-11536,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/28/03, 3.3g.","7/22/03, 4.2g.",,,,,,,,,,,,,,,,,
5000-11537,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/12/03, 3.2g.",,,,,,,,,,,,,,,,,,
5000-11538,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/12/03, 3.1g.",,,,,,,,,,,,,,,,,,
5000-11539,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/5/03, 3.5g.","6/14/03, 3.7g.","6/20/03, 3.7g.","6/26/03, 3.4g.",,,,,,,,,,,,,,,
5000-11540,6/4/2003,MCGC,BTLH,M,AHY,2003,"6/12/03, 3.1g.","6/13/03, 3.1g.","6/14/03, 3.1g","6/22/03, 3.1g.",,,,,,,,,,,,,,,
5000-11541,6/4/2003,MCGC,BTLH,F,AHY,2003,6/13/2003,"6/14/03, 3.6g.","6/20/03,3.8g.","6/21/03, 3.7g.","6/22/03, 3.7g. (2)","6/29/03, 4.2g.","7/5/03, 3.6g.","7/11/03, 4.1g.","7/12/03, 4.0g.","7/14/03, 3.7g.","7/18/03,3.9g.","7/19/03, 3.8g.(2)","7/22/03, 4.2g.","7/26/03, 3.5g.","7/27/03, 3.8g.","8/16/03, 3.8g.","8/22/03, 3.8g.",,
5000-11543,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/5/03, 3.8g.","6/12/03, 3.3g.","7/10/03, 3.8g.",,,,,,,,,,,,,,,,
5000-11544,6/4/2003,MCGC,BTLH,F,AHY,2003,"6/13/03, 3.5g.",,,,,,,,,,,,,,,,,,
5000-11546,6/5/2003,MCGC,BTLH,F,AHY,2003,"6/27/03, 3.6g.",,,,,,,,,,,,,,,,,,
5000-11547,6/5/2003,MCGC,BTLH,M,AHY,2003,"6/15/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-11548,6/5/2003,MCGC,BTLH,F,AHY,2003,"6/27/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-11549,6/5/2003,MCGC,BTLH,F,AHY,2003,"6/15/03, 3.3g.","7/6/03, 3.2g.",,,,,,,,,,,,,,,,,
5000-11550,6/5/2003,MCGC,BTLH,F,AHY,2003,"6/13/03, 3.2g.",,,,,,,,,,,,,,,,,,
5000-11552,6/5/2003,MCGC,BTLH,F,AHY,2003,6/5/2003,"6/15/03, 3.5g.","6/22/03, 3.2g","6/27/03, 3.3g.","6/28/03, 3.4g.","7/4/03, 3.4g.","7/14/03, 3.2g.",,,,,,,,,,,,
5000-11553,6/5/2003,MCGC,BTLH,M,AHY,2003,"6/15/03, 3.2g.","6/20/03, 3.2g.","6/21/03, 3.2g.","6/27/03, 3.1g.","6/27/03, 3.2g.","7/27/03, 3.4g.",,,,,,,,,,,,,
5000-11554,6/5/2003,MCGC,BTLH,F,AHY,2003,"6/15/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-11556,6/12/2003,MCGC,BTLH,F,AHY,2003,"6/15/03, 3.6g.","7/26/03, 3.7g.",,,,,,,,,,,,,,,,,
5000-11557,6/12/2003,MCGC,BTLH,F,AHY,2003,"6/15/03, 4.2g.",,,,,,,,,,,,,,,,,,
5000-11558,6/12/2003,MCGC,BTLH,F,AHY,2003,6/14/03. 3.0g.,"6/16/03, 3.7g.","7/5/03, 3.4g.","7/25/03, 4.0g.",,,,,,,,,,,,,,,
5000-11560,6/12/2003,MCGC,BTLH,F,AHY,2003,"6/13/03, 3.2g.",,,,,,,,,,,,,,,,,,
5000-11561,6/12/2003,MCGC,BTLH,M,AHY,2003,"6/15/03, 3.5g.","6/16/03, 3.1g.",,,,,,,,,,,,,,,,,
5000-11564,6/12/2003,MCGC,BTLH,M,AHY,2003,6/13/2003,"6/15/03, 3.4g.","6/22/03, 3.3g.",,,,,,,,,,,,,,,,
5000-11566,6/13/2003,MCGC,BTLH,F,AHY,2003,6/13/2003,"6/29/03, 4.1g.",,,,,,,,,,,,,,,,,
5000-11567,6/13/2003,MCGC,BTLH,F,AHY,2003,"7/12/03, 3.8g.",,,,,,,,,,,,,,,,,,
5000-11568,6/13/2003,MCGC,BTLH,F,AHY,2003,"7/7/03, 3.0g.",,,,,,,,,,,,,,,,,,
5000-11570,6/13/2003,MCGC,BTLH,M,AHY,2003,"6/15/03, 3.1g.","6/29/03, 3.2g.","7/4/03, 3.2g.","8/12/03, 3.5g.",,,,,,,,,,,,,,,
5000-11571,6/13/2003,MCGC,BTLH,F,AHY,2003,"7/11/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-11572,6/13/2003,MCGC,BTLH,M,AHY,2003,"6/14/03, 3.4g.","6/15/03, 3.1g.",,,,,,,,,,,,,,,,,
5000-11573,6/13/2003,MCGC,BTLH,M,AHY,2003,"6/15/03, 3.1g. ",,,,,,,,,,,,,,,,,,
5000-11575,6/13/2003,MCGC,BTLH,M,AHY,2003,"6/15/03, 3.2g.","7/6/03, 3.2g.","7/20/03, 3.4g.",,,,,,,,,,,,,,,,
5000-11576,6/13/2003,MCGC,BTLH,F,AHY,2003,"7/11/03, 3.7g.","7/12/03, 3.3g.","7/14/03, 3.4g.","7/18/03, 3.3g.",,,,,,,,,,,,,,,
5000-11581,6/14/2003,MCGC,BTLH,M,AHY,2003,"6/16/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-11582,6/14/2003,MCGC,BTLH,F,AHY,2003,"6/15/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-11583,6/14/2003,MCGC,BTLH,F,AHY,2003,"6/15/03, 3.3g.","7/20/03, 4.2g.",,,,,,,,,,,,,,,,,
5000-11586,6/14/2003,MCGC,BTLH,F,AHY,2003,"8/26/03, 3.7g.",,,,,,,,,,,,,,,,,,
5000-11588,6/14/2003,MCGC,BTLH,M,AHY,2003,"6/22/03, 3.4g.","6/27/03, 3.4g.","7/6/03, 3.3g.","7/10/03, 3.3g.","8/3/03, 3.6g.",,,,,,,,,,,,,,
5000-11590,6/14/2003,MCGC,BTLH,M,AHY,2003,"6/22/03, 3.2g.",,,,,,,,,,,,,,,,,,
5000-11592,6/15/2003,MCGC,BTLH,M,AHY,2003,6/15/2003,,,,,,,,,,,,,,,,,,
5000-11594,6/15/2003,MCGC,BTLH,M,AHY,2003,"7/7/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-11596,6/15/2003,MCGC,BTLH,M,AHY,2003,6/15/2003,"6/22/03, 3.4g.","7/5/03, 3.3g.",,,,,,,,,,,,,,,,
5000-11597,6/15/2003,MCGC,BTLH,M,AHY,2003,6/16/2003,,,,,,,,,,,,,,,,,,
5000-11601,6/15/2003,MCGC,BTLH,F,AHY,2003,6/15/2003,"7/6/03, 3.2g.","7/7/03, 3.2g.","7/10/03, 3.4g.","7/10/03, 3.6g.","7/11/03, 3.1g.",,,,,,,,,,,,,
5000-11603,6/15/2003,MCGC,BTLH,M,AHY,2003,"7/6/03, 3.0g.",,,,,,,,,,,,,,,,,,
5000-11607,6/15/2003,MCGC,BTLH,F,AHY,2003,"6/21/03, 3.6g.","6/29/03, 3.4g.","7/10/03, 3.3g.","7/14/03, 3.2g.","7/22/03, 3.6g.",,,,,,,,,,,,,,
5000-11609,6/16/2003,MCGC,BTLH,F,AHY,2003,"6/21/03, 3.9g.","6/27/03, 3.5g.",,,,,,,,,,,,,,,,,
5000-11616,6/20/2003,MCGC,BTLH,M,AHY,2003,"6/22/03, 3.2g.",,,,,,,,,,,,,,,,,,
5000-11619,6/20/2003,MCGC,BTLH,F,AHY,2003,"6/21/03, 3.7g.",,,,,,,,,,,,,,,,,,
5000-11620,6/20/2003,MCGC,BTLH,F,AHY,2003,"6/21/03, 3.5g.","6/22/03, 3.2g.",,,,,,,,,,,,,,,,,
5000-11622,6/20/2003,MCGC,BTLH,F,AHY,2003,"6/27/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-11623,6/20/2003,MCGC,BTLH,F,AHY,2003,"6/21/03, 3.3g.","6/22/03, 3.1g.",,,,,,,,,,,,,,,,,
5000-11624,6/20/2003,MCGC,BTLH,F,AHY,2003,"6/21/03, 3.5g.","6/28/03, 3.3g.",,,,,,,,,,,,,,,,,
5000-11629,6/21/2003,MCGC,BTLH,F,AHY,2003,6/22/2003,"6/27/03, 3.4g.","7/22/03, 3.4g.",,,,,,,,,,,,,,,,
5000-11631,6/21/2003,MCGC,BTLH,M,AHY,2003,"7/3/03, 3.0g.",,,,,,,,,,,,,,,,,,
5000-11632,6/22/2003,MCGC,BTLH,M,AHY,2003,"6/28/03, 3.1g.","6/28/03, 3.1g.",,,,,,,,,,,,,,,,,
5000-11635,6/22/2003,MCGC,BTLH,F,AHY,2003,"6/27/03, 4.0g.","7/12/03, 3.5g.",,,,,,,,,,,,,,,,,
5000-11636,6/22/2003,MCGC,BTLH,M,AHY,2003,"6/27/03, 3.0g.","6/28/03, 3.0g.","7/4/03, 3.2g.",,,,,,,,,,,,,,,,
5000-11637,6/22/2003,MCGC,BTLH,M,AHY,2003,"6/22/03, 3.5g.",,,,,,,,,,,,,,,,,,
5000-11640,6/26/2003,MCGC,BTLH,F,AHY,2003,"7/3/03, 3.6g.",,,,,,,,,,,,,,,,,,
5000-11642,6/26/2003,MCGC,BTLH,F,AHY,2003,"6/27/03, 3.5g.","8/2/03, 3.6g.",,,,,,,,,,,,,,,,,
5000-11643,6/26/2003,MCGC,BTLH,F,AHY,2003,"8/3/03, 3.6g.",,,,,,,,,,,,,,,,,,
5000-11644,6/27/2003,MCGC,BTLH,F,AHY,2003,"6/28/03, 3.4g.","7/4/03, 3.7g.",,,,,,,,,,,,,,,,,
5000-11647,6/27/2003,MCGC,BTLH,F,AHY,2003,"7/5/03, 3.7g.","7/22/03, 3.8g.","7/25/03, 3.5g.",,,,,,,,,,,,,,,,
5000-11648,6/27/2003,MCGC,BTLH,F,AHY,2003,"7/27/03, 3.6g.",,,,,,,,,,,,,,,,,,
5000-11649,6/28/2003,MCGC,BTLH,F,AHY,2003,"6/28/03, 3.3g.","6/29/03, 3.4g.",,,,,,,,,,,,,,,,,
5000-11650,6/28/2003,MCGC,BTLH,F,AHY,2003,6/28/2003,,,,,,,,,,,,,,,,,,
5000-11651,6/28/2003,MCGC,BTLH,F,AHY,2003,"7/22/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-11657,6/28/2003,MCGC,BTLH,F,AHY,2003,"7/26/03, 4.0g.",,,,,,,,,,,,,,,,,,
5000-11663,7/4/2003,MCGC,BTLH,F,AHY,2003,"7/5/03, 3.6g.","7/28/03, 4.1g.",,,,,,,,,,,,,,,,,
5000-11676,7/4/2003,MCGC,BTLH,F,AHY,2003,7/5/2003,,,,,,,,,,,,,,,,,,
5000-11682,7/5/2003,MCGC,BTLH,F,AHY,2003,7/6/2003,"7/7/03, 3.3g.",,,,,,,,,,,,,,,,,
5000-11683,7/5/2003,MCGC,BTLH,F,AHY,2003,"7/22/03, ","7/26/03, 3.3g.",,,,,,,,,,,,,,,,,
5000-11684,7/5/2003,MCGC,BTLH,F,AHY,2003,"7/11/03, 3.8g.","7/28/03, 4.0g.",,,,,,,,,,,,,,,,,
5000-11692,7/5/2003,CC2,BTLH,F,AHY,2003,"7/15/03, 3.5g. at MCGC",,,,,,,,,,,,,,,,,,
5000-11694,7/6/2003,MCGC,BTLH,M,AHY,2003,"7/7/03, 3.3g.","7/10/03, 3.3g.",,,,,,,,,,,,,,,,,
5000-11698,7/6/2003,CC2,BTLH,F,AHY,2003,7/11/03 at MCGC,,,,,,,,,,,,,,,,,,
5000-11699,7/6/2003,MCGC,BTLH,F,AHY,2003,"7/18/03, 4.1g.","7/19/03, 4.0g.","8/11/03, 3.8g.","7/26/03, 3.7g.",,,,,,,,,,,,,,,
5000-11715,7/10/2003,MCGC,RUHU,M,AHY,2003,"7/10/03, 3.6g.",,,,,,,,,,,,,,,,,,
5000-11716,7/10/2003,MCGC,BTLH,F,AHY,2003,"7/12/03, 3.5g.",,,,,,,,,,,,,,,,,,
5000-11727,7/10/2003,MCGC,BTLH,F,AHY,2003,"7/22/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-11731,7/10/2003,MCGC,BTLH,F,AHY,2003,"7/11/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-11732,7/11/2003,MCGC,BTLH,F,AHY,2003,"7/12/03, 3.9g.",,,,,,,,,,,,,,,,,,
5000-11737,7/11/2003,MCGC,BTLH,F,AHY,2003,"7/12/03, 3.7g.",,,,,,,,,,,,,,,,,,
5000-11739,7/11/2003,MCGC,BTLH,F,AHY,2003,"7/22/03, 3.7g.",8/11/2003,,,,,,,,,,,,,,,,,
5000-11746,7/11/2003,MCGC,BTLH,F,AHY,2003,7/12/2003,"7/14/03, 3.6g.",,,,,,,,,,,,,,,,,
5000-11748,7/11/2003,MCGC,BTLH,F,AHY,2003,"7/12/03, 3.5g.",,,,,,,,,,,,,,,,,,
5000-11754,7/12/2003,MCGC,BTLH,F,AHY,2003,"7/28/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-11757,7/12/2003,MCGC,BTLH,F,AHY,2003,"7/18/03, 3.5g.","7/26/03, 3.5g.",,,,,,,,,,,,,,,,,
5000-11768,7/13/2003,CC2,BTLH,F,AHY,2003,"7/22/03, 4.0g. at MCGC",,,,,,,,,,,,,,,,,,
5000-11778,7/14/2003,MCGC,BTLH,F,AHY,2003,"7/22/03, 3.1g.",,,,,,,,,,,,,,,,,,
5000-11787,7/18/2003,MCGC,BTLH,F,AHY,2003,"7/22/03, 3.8g.",,,,,,,,,,,,,,,,,,
5000-11798,7/18/2003,MCGC,RUHU,F,AHY,2003,"7/19/03, 3.7g.",,,,,,,,,,,,,,,,,,
5000-29205,7/19/2003,MCGC,BTLH,F,AHY,2003,"7/20/03, 3.6g.",,,,,,,,,,,,,,,,,,
5000-29213,7/19/2003,MCGC,BTLH,F,AHY,2003,"7/25/03, 3.6g.","8/2/03, 3.7g.",,,,,,,,,,,,,,,,,
5000-29214,7/19/2003,MCGC,BTLH,F,AHY,2003,7/20/2003,,,,,,,,,,,,,,,,,,
5000-29218,7/20/2003,MCGC,BTLH,F,AHY,2003,"8/3/03, 3.6g.",,,,,,,,,,,,,,,,,,
5000-29222,7/20/2003,MCGC,BTLH,F,AHY,2003,7/22/2003,,,,,,,,,,,,,,,,,,
5000-29224,7/20/2003,MCGC,BTLH,F,AHY,2003,7/22/2003,8/2/2003,,,,,,,,,,,,,,,,,
5000-29229,7/22/2003,MCGC,BTLH,F,AHY,2003,7/22/2003,,,,,,,,,,,,,,,,,,
5000-29233,7/22/2003,MCGC,BTLH,F,AHY,2003,"8/1/03, 4.0g.",,,,,,,,,,,,,,,,,,
5000-29259,7/26/2003,MCGC,RUHU,F,AHY,2003,7/26/2003,,,,,,,,,,,,,,,,,,
5000-29264,7/26/2003,MCGC,RUHU,F,AHY,2003,7/26/2003,,,,,,,,,,,,,,,,,,
5000-29274,7/26/2003,MCGC,CAHU,F,AHY,2003,"7/27/03, 2.7g.",,,,,,,,,,,,,,,,,,
5000-29275,7/26/2003,MCGC,BTLH,F,HY,2003,"7/27/03, 3.4g.",,,,,,,,,,,,,,,,,,
5000-29306,8/1/2003,MCGC,BTLH,F,AHY,2003,"8/2/03, 3.6g.",,,,,,,,,,,,,,,,,,
5000-29308,8/1/2003,MCGC,RUHU,M,HY,2003,"8/2/03, 3.0g.",8/2/2003,,,,,,,,,,,,,,,,,
5000-29314,8/2/2003,MCGC,RUHU,M,HY,2003,"8/3/03, 3.1g.",8/3/2003,,,,,,,,,,,,,,,,,
5000-29315,8/2/2003,MCGC,BTLH,F,AHY,2003,"8/6/03, 3.5g.",,,,,,,,,,,,,,,,,,
5000-29327,8/2/2003,MCGC,BTLH,M,HY,2003,8/3/2003,,,,,,,,,,,,,,,,,,
5000-29334,8/3/2003,MCGC,RUHU,M,HY,2003,"8/5/03, 4.5g.","8/6/03, 4.9g.",,,,,,,,,,,,,,,,,
5000-29337,8/3/2003,MCGC,RUHU,F,AHY,2003,8/3/2003,,,,,,,,,,,,,,,,,,
5000-29342,8/3/2003,MCGC,BTLH,F,AHY,2003,"8/6/03, 3.9g.",,,,,,,,,,,,,,,,,,
5000-29362,8/4/2003,MCGC,RUHU,M,HY,2003,8/4/2003,,,,,,,,,,,,,,,,,,
5000-29364,8/4/2003,MCGC,CAHU,M,HY,2003,"8/5/03, 3.3g.",,,,,,,,,,,,,,,,,,
5000-29366,8/5/2003,MCGC,RUHU,M,HY,2003,"8/6/03, 4.3g.",,,,,,,,,,,,,,,,,,
5000-29376,8/6/2003,MCGC,RUHU,F,AHY,2003,8/6/2003,,,,,,,,,,,,,,,,,,
5000-29377,8/6/2003,MCGC,RUHU,M,HY,2003,8/6/2003,8/6/2003,,,,,,,,,,,,,,,,,
5000-29380,8/6/2003,MCGC,RUHU,M,HY,2003,8/6/2003,,,,,,,,,,,,,,,,,,
5000-29381,8/6/2003,MCGC,RUHU,F,HY,2003,8/6/2003,,,,,,,,,,,,,,,,,,
5000-29388,8/10/2003,MCGC,RUHU,M,HY,2003,8/10/2003,"8/11/03, 3.5g.",8/11/2003,8/11/2003,"8/12/03, 3.7g.",,,,,,,,,,,,,,
5000-29389,8/10/2003,MCGC,RUHU,M,HY,2003,8/10/2003,8/10/2003,8/10/2003,"8/11/03, 3.2g.",8/11/2003,8/11/2003,,,,,,,,,,,,,
5000-29395,7/26/2003,MCGC,BTLH,F,AHY,2003,"8/2/03, 3.3g.","8/11/03, 3.4g.",,,,,,,,,,,,,,,,,
