"gbifID","eventDate","month","latitude","longitude","code","cell"
600677198,"2/7/2011",2,23.988056,-104.63861,"ws57",357275
844711878,"1/6/2012",1,23.589775,-105.86927,"ws36",412802
602356563,"12/14/2011",12,23.564966,-105.850174,"ws55",417442
1386307298,"2/10/2006",2,23.56222,-105.83639,"ws228",417443
2728009911,"1/22/2011",1,23.501255,-105.83764,"ws122",428265
4643422351,"1/23/1984",1,23.584017,-104.02673,"ws78",431543
600671376,"1/20/2011",1,23.463741,-105.8287,"ws58",434449
4168683736,"2/27/1951",2,23.613333,-100.891667,"ws93",441142
4835069500,"1/17/1985",1,23.38742,-104.24722,"ws72",463986
844727048,"12/26/2012",12,22.151278,-102.28093,"ws35",689900
2718125740,"2/17/1976",2,21.49343,-104.99348,"ws124",785464
4365072795,"2/21/2006",2,21.495632,-104.93263,"ws80",785470
2754539209,"1/13/2000",1,21.46152,-104.98175,"ws121",790103
844512748,"12/14/2012",12,20.779974,-104.83246,"ws42",910702
1790824032,"1/15/1976",1,20.657984,-103.38851,"ws208",944868
2630467527,"1/4/1949",1,20.488333,-103.463333,"ws141",974233
844690242,"12/17/2012",12,20.377777,-105.04806,"ws37",980247
2764499729,"1/29/1988",1,20.30125,-103.177246,"ws120",1008275
3294416745,"1/14/2010",1,20.292257,-103.29673,"ws104",1009808
1747456884,"2/6/1999",2,20.149107,-104.65748,"ws214",1023575
844375986,"1/6/2012",1,20.044683,-103.113716,"ws44",1054660
1894191889,"2/14/1979",2,19.941667,-100.976667,"ws162",1081172
1894191777,"2/1/2002",2,19.893611,-100.916667,"ws186",1088908
942047468,"12/2/1991",12,19.68769,-104.39525,"ws26",1107084
2140979070,"2/4/2002",2,19.669746,-104.38385,"ws152",1110177
4835158396,"1/19/1991",1,19.632914,-104.32931,"ws71",1117913
971872500,"1/4/2004",1,19.641796,-103.61832,"ws19",1121082
844289655,"2/27/2012",2,19.698225,-98.84661,"ws46",1123144
972414727,"2/23/2010",2,19.600061,-104.299995,"ws16",1124100
599335263,"1/4/2002",1,19.624115,-103.62222,"ws68",1124173
972456505,"2/22/2010",2,19.585932,-104.27139,"ws15",1125649
971876418,"1/3/2004",1,19.613722,-103.567795,"ws18",1127271
1894191724,"2/9/2001",2,19.672222,-101.145,"ws192",1127533
1894191758,"2/14/1979",2,19.675,-100.844167,"ws189",1127566
599364215,"1/3/2003",1,19.564753,-104.19978,"ws67",1130295
600416842,"12/9/2010",12,19.596764,-103.58984,"ws63",1130361
4838352792,"1/28/1985",1,19.65696,-101.010826,"ws69",1130640
841091715,"1/4/1990",1,19.573433,-103.62696,"ws48",1133449
4832807476,"2/19/1984",2,19.569757,-103.61644,"ws73",1133450
983124034,"2/8/2009",2,19.5321,-104.1414,"ws3",1136485
2719398344,"2/29/1976",2,19.622261,-101.46251,"ws123",1136775
1783522702,"2/8/2012",2,19.633898,-100.304565,"ws212",1136900
980561623,"1/23/1994",1,19.53804,-103.60478,"ws6",1139635
978654877,"1/26/2011",1,19.531136,-103.6109,"ws8",1141180
2243870396,"2/17/2001",2,19.531,-103.575,"ws143",1141184
3654166511,"1/21/1988",1,19.532803,-103.55918,"ws100",1141186
3008556054,"2004-02-13T06:33",2,19.53381,-103.540384,"ws109",1141188
4763018985,"2/15/2004",2,19.534513,-103.52827,"ws75",1141189
2716462722,"2/28/1976",2,19.586805,-101.71775,"ws125",1141385
2798422270,"1/15/1976",1,19.52151,-103.622,"ws117",1142725
4389301311,"2/20/2000",2,19.51282,-103.6161,"ws79",1144272
600679437,"2/3/2011",2,19.588179,-100.26712,"ws56",1144634
1894191817,"2/25/2006",2,19.584167,-100.221111,"ws179",1144639
1894191743,"12/13/2004",12,19.584722,-100.2125,"ws191",1144640
1894191723,"2/25/2006",2,19.579167,-100.2375,"ws193",1146184
1894191669,"12/18/2004",12,19.575278,-100.216111,"ws201",1146186
1894191862,"1/31/2006",1,19.578611,-100.205278,"ws167",1146187
986118215,"2/15/2012",2,19.572666,-100.21385,"ws1",1147732
599729810,"12/5/2009",12,19.530746,-101.30474,"ws65",1152252
1894191847,"12/8/2001",12,19.524722,-101.368889,"ws173",1153791
844803905,"12/23/2012",12,19.513515,-101.64285,"ws32",1155307
620587038,"2/14/1949",2,19.448978,-101.57536,"ws50",1166136
1894191780,"2/14/1949",2,19.441667,-101.609722,"ws184",1167679
280910599,"2/7/2010",2,19.4436,-100.2584,"ws114",1169371
1894191666,"12/5/1981",12,19.415833,-101.748333,"ws202",1172302
896291938,"2/27/1953",2,19.35558,-101.671058,"ws28",1183132
1894191941,"1/12/1980",1,19.273611,-102.366667,"ws161",1193878
2161317472,"1/3/1984",1,19.304987,-99.30297,"ws150",1194211
4169280129,"12/22/1992",12,19.29528,-99.24,"ws81",1195764
620565393,"2/10/1959",2,19.199971,-103.998299,"ws52",1196793
2630610101,"2/7/1945",2,19.29,-99.445,"ws133",1197288
599729279,"1/25/2009",1,19.282417,-99.271614,"ws66",1197306
2630488565,"2/27/1953",2,19.265,-101.603333,"ws138",1198599
4169213243,"1/12/1994",1,19.265,-99.29333,"ws84",1200396
2630584769,"12/17/1985",12,19.201667,-99.18,"ws135",1212776
281050669,"2/27/2009",2,19.155546,-99.015656,"ws113",1220524
4816743332,"2/4/1984",2,19.132372,-99.20613,"ws74",1225142
980585237,"12/28/2003",12,19.111717,-99.194824,"ws5",1228235
844788689,"2/17/2012",2,19.083334,-99.2,"ws34",1232872
980598276,"12/30/2003",12,19.065613,-99.9829,"ws4",1237425
150160375,"12/28/1984",12,19.063274,-99.3157,"ws215",1237498
937018462,"12/30/2003",12,19.05396,-99.99579,"ws27",1238970
945987488,"12/19/1987",12,19.043507,-100.035614,"ws24",1240511
1782739377,"12/2/2006",12,19.00516,-99.08908,"ws213",1246799
977565899,"1/6/2007",1,18.98417,-99.08007,"ws12",1249892
1894191885,"1/7/1999",1,18.843611,-102.939722,"ws163",1266476
1894191839,"12/5/1998",12,18.844444,-102.9125,"ws175",1266479
1894191626,"1/7/1999",1,18.842222,-102.938611,"ws204",1268022
976587736,"12/25/2002",12,18.885073,-99.59741,"ws14",1268387
1894191883,"2/8/1999",2,18.800278,-102.973611,"ws164",1274202
1894191795,"2/8/1999",2,18.803333,-102.966389,"ws183",1274203
144683076,"12/15/1982",12,18.806667,-102.96,"ws220",1274204
4168633045,"12/15/1982",12,18.807222,-102.952778,"ws95",1274205
1894191849,"1/9/1999",1,18.79,-102.961944,"ws172",1277295
4168632897,"2/23/1983",2,18.783889,-102.951111,"ws97",1277297
1894191996,"2/8/1999",2,18.7775,-102.962222,"ws160",1278841
4168632682,"12/5/1982",12,18.7675,-102.966667,"ws98",1280387
4168632551,"12/5/1982",12,18.768056,-102.951389,"ws99",1280389
4168704353,"12/6/1986",12,18.65,-99.783333,"ws85",1310109
1894191750,"12/9/1982",12,18.531667,-103,"ws190",1322124
1894191807,"2/28/1983",2,18.489722,-103,"ws181",1329854
4168701302,"12/16/1986",12,18.51,-99.756667,"ws87",1334848
3306261832,"1/10/2004",1,17.816713,-99.967595,"ws103",1458505
1197793714,"2/20/2007",2,17.68261,-99.80813,"ws234",1483259
3281389728,"1/23/1998",1,17.650848,-99.838776,"ws106",1489439
1160920056,"2/21/2007",2,17.587063,-99.83701,"ws235",1500261
4168695164,"2/2/1985",2,17.565,-99.733333,"ws89",1503365
1897474814,"12/3/1984",12,17.466667,-100.166667,"ws155",1521869
4169234661,"1/23/1986",1,17.41667,-100.11667,"ws83",1531150
859240826,"1/25/2009",1,17.32615,-96.46533,"ws31",1534649
844573882,"2/16/2012",2,17.218313,-96.73836,"ws41",1556263
4838137479,"2/5/1983",2,17.193453,-96.63984,"ws70",1559366
966402598,"12/26/2001",12,17.174093,-96.60437,"ws22",1562462
979870808,"12/25/1993",12,17.163157,-96.594894,"ws7",1564009
971900426,"1/11/2002",1,17.14797,-96.758224,"ws17",1568629
3580445747,"12/25/1991",12,17.1166,-96.630196,"ws102",1573281
1205415875,"1/24/2004",1,17.06302,-96.51489,"ws232",1582571
183375944,"12/2/2005",12,16.949972,-96.48331,"ws207",1602673
2659544776,"2/17/2002",2,16.163614,-96.50389,"ws128",1743360
971426534,"12/31/2006",12,15.117205,-92.132034,"ws20",1881458
